,taz_id,yesh_id,stat11_id,prc,yesh_stat11_id,cahana_id
10818,2125,8000,9,0.7375355389844113,80000009,80009
10816,2125,8000,7,0.0031819691518852446,80000007,80007
10820,2125,8000,1,0.0019006089838783846,80000001,80001
10819,2125,8000,10,0.0004923845543783928,80000010,800010
10817,2125,8000,11,0.248582057245817,80000011,800011
10821,2125,8000,8,0.008307441079616045,80000008,80008
10827,2126,8000,10,0.9894062572253641,80000010,800010
10825,2126,8000,9,0.00365274372405753,80000009,80009
10826,2126,8000,1,0.004578367267606658,80000001,80001
10829,2127,8000,9,0.00023805415929195833,80000009,80009
10828,2127,8000,10,0.002796716529299157,80000010,800010
10833,2127,8000,7,0.004744090145171486,80000007,80007
10830,2127,8000,11,0.9806917832725383,80000011,800011
10842,2129,8000,5,0.0003127143959682092,80000005,80005
10858,2130,8000,5,0.0012724412811049076,80000005,80005
10869,2132,8000,5,0.9684039269204405,80000005,80005
10867,2132,8000,4,0.00030055994291182777,80000004,80004
10870,2132,8000,3,0.0012227753229371687,80000003,80003
10872,2132,8000,6,0.001429127037944296,80000006,80006
10975,2146,8000,10,0.00027709568814220044,80000010,800010
10980,2146,8000,1,0.005188195542910155,80000001,80001
10983,2147,8000,1,0.0011539703706198088,80000001,80001
11005,2150,8000,10,0.0007937772664878055,80000010,800010
10804,2123,8000,4,0.005696003413605942,80000004,80004
10805,2123,8000,8,0.0017989228987177672,80000008,80008
10811,2123,8000,2,0.00025262704799009183,80000002,80002
10810,2123,8000,5,0.0006770402202679612,80000005,80005
12129,2314,8000,3,0.0007102952720627353,80000003,80003
12132,2314,8000,5,0.000668982993034576,80000005,80005
12128,2314,8000,1,0.0005087044162032986,80000001,80001
10770,2117,8000,6,0.0031108275059548744,80000006,80006
10773,2117,8000,7,0.004516313045149896,80000007,80007
10772,2117,8000,11,0.0045196145939016405,80000011,800011
10769,2117,8000,5,0.0014138900355917406,80000005,80005
10781,2118,8000,1,0.982315375978353,80000001,80001
10783,2118,8000,3,0.0005557082911518314,80000003,80003
10778,2118,8000,9,0.00039623200653228626,80000009,80009
10780,2118,8000,8,0.00014999032488342097,80000008,80008
10779,2118,8000,2,2.733188872382616e-05,80000002,80002
10787,2119,8000,1,0.02024993431267013,80000001,80001
10786,2119,8000,8,7.568368439682911e-06,80000008,80008
12151,2316,8000,11,0.004897305785102881,80000011,800011
10785,2119,8000,3,0.00414620274920689,80000003,80003
10792,2120,8000,3,0.9678272027467276,80000003,80003
10790,2120,8000,4,0.0002088232572397849,80000004,80004
10794,2120,8000,5,0.013258110080524538,80000005,80005
10793,2120,8000,1,0.0035698004538916276,80000001,80001
10791,2120,8000,2,0.015136063461599613,80000002,80002
10798,2121,8000,3,0.008661615155580572,80000003,80003
10795,2121,8000,5,0.009763008652684113,80000005,80005
10799,2121,8000,7,0.0036325343084581494,80000007,80007
10797,2121,8000,2,0.008684383876057591,80000002,80002
10796,2121,8000,4,0.9692584580072183,80000004,80004
10800,2122,8000,5,0.020660419564599682,80000005,80005
10801,2122,8000,6,0.977736644585021,80000006,80006
10802,2122,8000,7,0.0016029358503605808,80000007,80007
