stat_id,Jewish Orthodox,Jewish Non-Orthodox,Muslim,Christian,Druze,Other,pop_thou
94003,0.01,0.99,0,0,0,0,2.8
95005,0.014,0.986,0,0,0,0,4.4
95007,0.006,0.994,0,0,0,0,3.5
98001,0.012,0.988,0,0,0,0,3.3
98003,0.006,0.994,0,0,0,0,4.1
98004,0.023,0.977,0,0,0,0,1.6
106111,0.009,0.991,0,0,0,0,6.5
106121,0,0,0,1,0,0,3.2
106132,0.029,0.971,0,0,0,0,2.3
106133,0.008,0.992,0,0,0,0,2.8
106134,0.012,0.988,0,0,0,0,2.9
106143,0.004,0.996,0,0,0,0,5.1
113912,0.008,0.992,0,0,0,0,3.3
113913,0.034,0.966,0,0,0,0,4.2
113914,0.006,0.994,0,0,0,0,3.9
113921,0.013,0.987,0,0,0,0,2.9
113923,0.018,0.982,0,0,0,0,4.4
113924,0.005,0.995,0,0,0,0,5
113934,0.015,0.985,0,0,0,0,4.9
116110,0,0,1,0,0,0,2.8
116111,0,0,1,0,0,0,5.7
120011,0.006,0.994,0,0,0,0,3.2
120012,0.031,0.969,0,0,0,0,4.4
120013,0.051,0.949,0,0,0,0,4.7
120015,0.004,0.996,0,0,0,0,6.2
120016,0.04,0.96,0,0,0,0,3.5
120023,0.029,0.971,0,0,0,0,8.9
120024,0.088,0.912,0,0,0,0,8.3
120033,0.017,0.983,0,0,0,0,5.4
120034,0.054,0.946,0,0,0,0,2.8
220010,0.098,0.902,0,0,0,0,2.1
220012,0.027,0.973,0,0,0,0,3.3
240010,0.006,0.994,0,0,0,0,3.2
240012,0.028,0.972,0,0,0,0,4
260014,0.006,0.994,0,0,0,0,4.8
260016,0.012,0.988,0,0,0,0,4
260021,0.019,0.981,0,0,0,0,4.4
260022,0.066,0.934,0,0,0,0,2.7
260023,0.015,0.985,0,0,0,0,6.1
260025,0.019,0.981,0,0,0,0,2.8
260031,0.007,0.993,0,0,0,0,3.4
260034,0.005,0.995,0,0,0,0,2
261013,0.101,0.899,0,0,0,0,5.7
261014,0.047,0.953,0,0,0,0,5.1
261015,0.009,0.991,0,0,0,0,2.2
261016,0.042,0.958,0,0,0,0,3.9
261021,0.009,0.991,0,0,0,0,2.5
261022,0.067,0.933,0,0,0,0,4.7
261024,0.064,0.936,0,0,0,0,3.8
261025,0.175,0.825,0,0,0,0,2.9
261026,0.876,0.124,0,0,0,0,6.6
261027,0.719,0.281,0,0,0,0,3.7
261032,0.86,0.14,0,0,0,0,6.9
261033,0.633,0.367,0,0,0,0,5.7
261034,0.537,0.463,0,0,0,0,5.4
261035,0.394,0.606,0,0,0,0,5.1
261036,0.494,0.506,0,0,0,0,4.2
261037,0.525,0.475,0,0,0,0,3.1
263012,0.02,0.98,0,0,0,0,3.5
263013,0.02,0.98,0,0,0,0,0.6
263014,0.006,0.994,0,0,0,0,4
263015,0.031,0.969,0,0,0,0,3.8
263021,0.023,0.977,0,0,0,0,2.4
263022,0.024,0.976,0,0,0,0,3.3
263024,0.016,0.984,0,0,0,0,4.8
263025,0.008,0.992,0,0,0,0,3.1
263031,0.029,0.971,0,0,0,0,1.1
263032,0.124,0.876,0,0,0,0,3.3
263033,0.332,0.668,0,0,0,0,2.9
263036,0.006,0.994,0,0,0,0,3.4
